# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.812233e-01   1.152307e-14   1.888588e-04   6.668464e-16   360
  4.818747e-01   2.947021e-15   1.822418e-04   1.167299e-16   408
  4.830820e-01   5.621848e-15   1.854542e-04   2.102882e-16   456
  4.844414e-01   4.694666e-15   1.772485e-04   3.127827e-16   264
  4.851959e-01   1.069308e-14   1.923591e-04   4.304482e-16   384
  4.862943e-01   1.358906e-14   3.238501e-04   1.132033e-15   672
  4.875640e-01   1.082514e-14   1.937042e-04   5.815503e-16   240
  4.882967e-01   2.875029e-15   1.965613e-04   2.062543e-16   264
  4.893308e-01   1.051824e-14   2.424259e-04   5.198879e-16   624
  4.908739e-01   3.142831e-15   0.000000e+00   1.186864e-16   150
  4.914232e-01   9.193254e-15   2.716574e-04   6.140980e-16   600
  4.925819e-01   6.256899e-15   1.874909e-04   3.397121e-16   672
  4.938939e-01   6.685807e-15   1.763484e-04   4.206883e-16   336
  4.946248e-01   3.740645e-15   1.918157e-04   1.821971e-16   408
  4.957926e-01   6.861908e-15   1.913639e-04   5.520821e-16   408
  4.970915e-01   4.231672e-15   9.676385e-05   3.462560e-16   360
  4.978921e-01   1.152582e-14   3.552857e-04   9.046196e-16   456
  4.988592e-01   1.709053e-14   1.932065e-04   7.774147e-16   384
  5.000902e-01   2.422348e-14   1.783541e-04   3.187809e-15   348
  5.007554e-01   1.140360e-14   2.198754e-04   9.481337e-16   576
  5.020050e-01   1.069388e-14   1.810385e-04   5.267824e-16   504
  5.032833e-01   4.277937e-15   2.553443e-04   2.793965e-16   432
  5.043991e-01   1.042624e-14   3.473946e-04   5.198085e-16   576
  5.051948e-01   3.779346e-15   0.000000e+00   2.092967e-16   264
  5.064571e-01   6.644636e-15   2.764393e-04   1.980432e-16   768
  5.075549e-01   1.409933e-14   3.721752e-04   6.955567e-16   240
  5.084277e-01   6.098758e-15   3.282233e-04   5.091143e-16   192
  5.096990e-01   1.599783e-14   2.416124e-04   1.400772e-15   504
  5.106418e-01   6.913188e-15   3.255818e-04   3.060150e-16   590
  5.115460e-01   2.829934e-15   3.647966e-04   1.683105e-16   384
  5.126798e-01   1.880506e-14   3.048625e-04   8.221521e-16   504
  5.140486e-01   1.174714e-14   2.933830e-04   5.109679e-16   648
  5.153764e-01   3.903296e-15   7.967896e-05   2.127502e-16   504
  5.159117e-01   1.433741e-14   1.817627e-04   1.048948e-15   312
